COD;Agrega Valor;Horário Inicial;Horário final;TEMPO;TEMPO (MIN);TEMPO(ROT);Qtd peças conformes;Qtd peças não conformes;Observações;Data;Turno
181;N;9:50;10:05;0:15:00;15;#N/A;;;;12/02/2020;T1
192;N;10:05;10:45;0:40:00;40;#N/A;;;Setup porta lateral inferior;12/02/2020;T1
2047860;S;10:45;11:30;0:45:00;45;47;1;;solda almo porta inferior;12/02/2020;T1
192;N;11:30;11:45;0:15:00;15;#N/A;;;Setup frontal premium;12/02/2020;T1
180;N;11:45;12:55;1:10:00;70;#N/A;;;almoço;12/02/2020;T1
2050430;S;13:10;13:45;0:35:00;35;12;1;;Frontal Premium;12/02/2020;T1
2050430;S;14:45;15:00;0:15:00;15;12;1;;Frontal Premium;12/02/2020;T1
192;N;15:00;15:30;0:30:00;30;#N/A;;;Setup tampa lateral inferior;12/02/2020;T1
2047860;S;15:30;17:00;1:30:00;90;47;1;;Setup tampa lateral inferior;12/02/2020;T1
120;N;17:00;17:00;0:00:00;0;#N/A;;;;12/02/2020;T1
191;N;17:00;22:23;5:23:00;323;#N/A;;;Sem peças p/ soldar;12/02/2020;T2
192;N;22:23;22:44;0:21:00;21;#N/A;;;;12/02/2020;T2
2047860;S;22:44;23:16;0:32:00;32;47;1;;Portal Lateral;12/02/2020;T2
192;N;23:16;23:32;0:16:00;16;#N/A;;;;12/02/2020;T2
2049065;S;23:32;23:53;0:21:00;21;45;1;;Fontal Premium;12/02/2020;T2
191;N;23:53;2:12;2:15:00;135;#N/A;;;Sem peças para soldar;12/02/2020;T2
192;N;7:00;7:15;0:15:00;15;#N/A;;;Frontal premium setup;13/02/2020;T1
2050430;S;7:15;7:45;0:30:00;30;12;1;;Frontal premium soldado;13/02/2020;T1
6;N;7:45;9:30;1:45:00;105;#N/A;;;Sem peças para soldar;13/02/2020;T1
192;N;9:30;9:50;0:20:00;20;#N/A;;;Progamação nova porta t. Premium;13/02/2020;T1
2049165;S;9:50;10:00;0:10:00;10;45;1;;Porta traseira Premium;13/02/2020;T1
192;N;10:00;10:35;0:35:00;35;#N/A;;;Novo programa porta t. B.A 1489;13/02/2020;T1
2036259;S;10:35;11:00;0:25:00;25;21;1;;Porta traseira B.A soldada;13/02/2020;T1
160;N;11:00;11:20;0:20:00;20;#N/A;;;Preciso para tirar tampa gabarito;13/02/2020;T1
192;N;11:20;11:45;0:25:00;25;#N/A;;;Setup tampa Lateral Inferior;13/02/2020;T1
180;N;11:45;12:55;1:10:00;70;#N/A;;;Almoço;13/02/2020;T1
2048452;S;12:55;13:45;0:50:00;50;80;1;;Porta lateral inferior;13/02/2020;T1
192;N;13:45;13:52;0:07:00;7;#N/A;;;Setup frontal Premiun;13/02/2020;T1
2050430;S;13:52;14:25;0:33:00;33;12;1;;Solda frontal premium;13/02/2020;T1
40;N;14:25;14:30;0:05:00;5;#N/A;;;Retirada frontal gabarito;13/02/2020;T1
10;N;14:30;14:34;0:04:00;4;#N/A;;;Abastecimento colocação porta gabarito;13/02/2020;T1
192;N;14:34;14:50;0:16:00;16;#N/A;;;Setup porta traseira;13/02/2020;T1
2049165;S;14:50;15:10;0:20:00;20;45;1;;Setup porta traseira;13/02/2020;T1
160;N;15:10;15:30;0:20:00;20;#N/A;;;Em uso;13/02/2020;T1
192;N;15:30;15:52;0:22:00;22;#N/A;;;Setup frontal Premiun;13/02/2020;T1
2050430;S;15:52;16:15;0:23:00;23;12;1;;Solda frontal premium;13/02/2020;T1
40;N;16:15;16:23;0:08:00;8;#N/A;;;;13/02/2020;T1
